"½ÃÁ¡","À¾¸éµ¿º°(1)",¼¼´ë¼ö,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸,µî·ÏÀÎ±¸
"½ÃÁ¡","À¾¸éµ¿º°(1)",¼Ò°è,ÇÕ°è,ÇÕ°è,ÇÕ°è,ÇÑ±¹ÀÎ,ÇÑ±¹ÀÎ,ÇÑ±¹ÀÎ,¿Ü±¹ÀÎ,¿Ü±¹ÀÎ,¿Ü±¹ÀÎ
"½ÃÁ¡","À¾¸éµ¿º°(1)",¼Ò°è,¼Ò°è,³²,¿©,¼Ò°è,³²,¿©,¼Ò°è,³²,¿©
"2021.01","ÇÕ°è",200969,477019,243939,233080,466539,236488,230051,10480,7451,3029
"2021.01","¹®»êÀ¾",21648,49246,25201,24045,48474,24771,23703,772,430,342
"2021.01","Á¶¸®À¾",12979,31183,16141,15042,30066,15282,14784,1117,859,258
"2021.01","¹ý¿øÀ¾",5812,11462,6231,5231,10849,5761,5088,613,470,143
"2021.01","ÆÄÁÖÀ¾",7317,14056,7680,6376,13309,7062,6247,747,618,129
"2021.01","±¤Åº¸é",6010,13088,7640,5448,11427,6230,5197,1661,1410,251
"2021.01","ÅºÇö¸é",7102,14218,7969,6249,13258,7174,6084,960,795,165
"2021.01","¿ù·Õ¸é",6614,9691,6342,3349,9035,5754,3281,656,588,68
"2021.01","Àû¼º¸é",3718,7792,4246,3546,7551,4058,3493,241,188,53
"2021.01","ÆÄÆò¸é",2098,4116,2220,1896,3907,2042,1865,209,178,31
"2021.01","Áøµ¿¸é",73,162,88,74,162,88,74,0,0,0
"2021.01","±³ÇÏµ¿",16582,43011,22030,20981,42106,21348,20758,905,682,223
"2021.01","¿îÁ¤1µ¿",17585,46287,22675,23612,45879,22452,23427,408,223,185
"2021.01","¿îÁ¤2µ¿",23829,63315,30924,32391,63070,30847,32223,245,77,168
"2021.01","¿îÁ¤3µ¿",32670,84633,41505,43128,83978,41197,42781,655,308,347
"2021.01","±ÝÃÌ1µ¿",12227,22957,12134,10823,22370,11865,10505,587,269,318
"2021.01","±ÝÃÌ2µ¿",13086,33409,16328,17081,33156,16230,16926,253,98,155
"2021.01","±ÝÃÌ3µ¿",11398,27826,14298,13528,27376,14040,13336,450,258,192
"2021.02","ÇÕ°è",201977,478356,244493,233863,467954,237118,230836,10402,7375,3027
"2021.02","¹®»êÀ¾",21658,49166,25166,24000,48387,24726,23661,779,440,339
"2021.02","Á¶¸®À¾",12999,31165,16117,15048,30063,15276,14787,1102,841,261
"2021.02","¹ý¿øÀ¾",5802,11408,6198,5210,10807,5738,5069,601,460,141
"2021.02","ÆÄÁÖÀ¾",7361,14109,7703,6406,13366,7090,6276,743,613,130
"2021.02","±¤Åº¸é",6015,13041,7614,5427,11387,6212,5175,1654,1402,252
"2021.02","ÅºÇö¸é",7113,14228,7979,6249,13274,7189,6085,954,790,164
"2021.02","¿ù·Õ¸é",6634,9688,6336,3352,9044,5760,3284,644,576,68
"2021.02","Àû¼º¸é",3732,7797,4254,3543,7559,4070,3489,238,184,54
"2021.02","ÆÄÆò¸é",2104,4109,2223,1886,3906,2050,1856,203,173,30
"2021.02","Áøµ¿¸é",73,163,89,74,163,89,74,0,0,0
"2021.02","±³ÇÏµ¿",16597,42945,21994,20951,42057,21326,20731,888,668,220
"2021.02","¿îÁ¤1µ¿",18115,47539,23266,24273,47128,23045,24083,411,221,190
"2021.02","¿îÁ¤2µ¿",23844,63308,30878,32430,63059,30799,32260,249,79,170
"2021.02","¿îÁ¤3µ¿",32927,84936,41645,43291,84275,41334,42941,661,311,350
